start,end,relation
"""超""","""恢""","决策改变,改投刘备"
"""超""","""刘璋""","冲突解决,投降行动"
"""恢""","""刘璋""","战略建议,策略转移"
"""恢""","""曹操""","观点差异,策略建议"
"""杨柏""","""马超""","忠诚下属,直接参与者"
"""麻肺汤""","""华佗""","医疗技术,特殊疗法"
"""蜀军""","""孔明""",10
"""蜀军""","""魏军""","conflict, strategic positioning"
"""蜀军""","""刘备""","commander of armies, leadership"
"""蜀军""","""姜维""","领导者,战争参与方"
"""蜀军""","""撤退""","战略撤离, 欺骗敌人"
"""蜀军""","""张飞""","command, leadership"
"""蜀军""","""雷铜""","support, execution"
"""蜀军""","""魏延""","participation, key role"
"""蜀军""","""蒙头、荡石两寨""","control transfer, victory"
"""蜀军""","""木牛流马""",实施与效益
"""霍峻""","""刘备""","投降接纳,忠诚将领"
"""祁山""","""姜维""","command, military strategy"
"""祁山""","""邓艾""","ambition, military action"
"""顾雍""","""孙权""","政策咨询, 意见反馈"
"""魏寨""","""曹真""",commandership and military management
"""郭都督""","""计谋与策略""","strategy planning, deceitful tactic"
"""曹军""","""吕蒙""",8
"""郭淮""","""孟达""","态度,评论"
"""郭淮""","""列柳城守军""","defense success, leadership"
"""郭淮""","""街亭""","defense, pursuit"
"""郭淮""","""万政 (WANZHENG)""","military command, strategic response"
"""郭淮""","""五丈原战役""","军事角色,参与事件"
"""郭淮""","""司马懿""","command, cooperation"
"""郭淮""","""姜维""","军事竞争""，评分6"
"""雅丹丞相""","""孔明""",7
"""伏皇后""","""朕""","concern for imperial safety, maternal or regal concern"
"""袁术""","""刘备""","authority dispute, opposition"
"""袁术""","""玄德""","beneficial partnership, cautious trust""<SEP>""竞争、对峙"
"""袁术""","""死亡""","power struggle, downfall"
"""袁术""","""杨大将""",8
"""袁术""","""纪灵""","联盟关系""<SEP>7"
"""袁术""","""孙策""",6
"""袁术""","""关云长""",敌对关系
"""ALEXANDER THE GREAT""","""CAESAR""",historical figure
"""夏侯渊、张郃""","""对抗行动""<|""夏侯渊与张郃共同应对来自汉中的挑战，并参与了多次战斗。",7
"""杨昂、杨任""","""与曹操的军队""","防御,冲突"
"""FANG""","""SINOCHEM""","strategic leadership, business partnerships"
